Level	Date and Time	Source	Event ID	Task Category
Information	07/09/2024 12:23:06 CH	PowerShell	403	Engine Lifecycle	"Engine state is changed from Available to Stopped. 

Details: 
	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=15

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=67232cc0-c149-4ce5-9dd9-0b9c3a41c6c3
	HostApplication=powershell.exe -Command 
    $recycleBin = New-Object -ComObject Shell.Application
    $binFolder = $recycleBin.Namespace(0xA)
    $items = $binFolder.Items()
    $items | ForEach-Object { Remove-Item $_.Path -Force -Recurse }
    
	EngineVersion=5.1.19041.4780
	RunspaceId=f82e44fc-ca7d-456a-bb58-d89bcfadec9b
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:05 CH	PowerShell	400	Engine Lifecycle	"Engine state is changed from None to Available. 

Details: 
	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=67232cc0-c149-4ce5-9dd9-0b9c3a41c6c3
	HostApplication=powershell.exe -Command 
    $recycleBin = New-Object -ComObject Shell.Application
    $binFolder = $recycleBin.Namespace(0xA)
    $items = $binFolder.Items()
    $items | ForEach-Object { Remove-Item $_.Path -Force -Recurse }
    
	EngineVersion=5.1.19041.4780
	RunspaceId=f82e44fc-ca7d-456a-bb58-d89bcfadec9b
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:05 CH	PowerShell	600	Provider Lifecycle	"Provider ""Variable"" is Started. 

Details: 
	ProviderName=Variable
	NewProviderState=Started

	SequenceNumber=11

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=67232cc0-c149-4ce5-9dd9-0b9c3a41c6c3
	HostApplication=powershell.exe -Command 
    $recycleBin = New-Object -ComObject Shell.Application
    $binFolder = $recycleBin.Namespace(0xA)
    $items = $binFolder.Items()
    $items | ForEach-Object { Remove-Item $_.Path -Force -Recurse }
    
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:05 CH	PowerShell	600	Provider Lifecycle	"Provider ""Function"" is Started. 

Details: 
	ProviderName=Function
	NewProviderState=Started

	SequenceNumber=9

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=67232cc0-c149-4ce5-9dd9-0b9c3a41c6c3
	HostApplication=powershell.exe -Command 
    $recycleBin = New-Object -ComObject Shell.Application
    $binFolder = $recycleBin.Namespace(0xA)
    $items = $binFolder.Items()
    $items | ForEach-Object { Remove-Item $_.Path -Force -Recurse }
    
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:05 CH	PowerShell	600	Provider Lifecycle	"Provider ""FileSystem"" is Started. 

Details: 
	ProviderName=FileSystem
	NewProviderState=Started

	SequenceNumber=7

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=67232cc0-c149-4ce5-9dd9-0b9c3a41c6c3
	HostApplication=powershell.exe -Command 
    $recycleBin = New-Object -ComObject Shell.Application
    $binFolder = $recycleBin.Namespace(0xA)
    $items = $binFolder.Items()
    $items | ForEach-Object { Remove-Item $_.Path -Force -Recurse }
    
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:05 CH	PowerShell	600	Provider Lifecycle	"Provider ""Environment"" is Started. 

Details: 
	ProviderName=Environment
	NewProviderState=Started

	SequenceNumber=5

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=67232cc0-c149-4ce5-9dd9-0b9c3a41c6c3
	HostApplication=powershell.exe -Command 
    $recycleBin = New-Object -ComObject Shell.Application
    $binFolder = $recycleBin.Namespace(0xA)
    $items = $binFolder.Items()
    $items | ForEach-Object { Remove-Item $_.Path -Force -Recurse }
    
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:05 CH	PowerShell	600	Provider Lifecycle	"Provider ""Alias"" is Started. 

Details: 
	ProviderName=Alias
	NewProviderState=Started

	SequenceNumber=3

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=67232cc0-c149-4ce5-9dd9-0b9c3a41c6c3
	HostApplication=powershell.exe -Command 
    $recycleBin = New-Object -ComObject Shell.Application
    $binFolder = $recycleBin.Namespace(0xA)
    $items = $binFolder.Items()
    $items | ForEach-Object { Remove-Item $_.Path -Force -Recurse }
    
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:05 CH	PowerShell	600	Provider Lifecycle	"Provider ""Registry"" is Started. 

Details: 
	ProviderName=Registry
	NewProviderState=Started

	SequenceNumber=1

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=67232cc0-c149-4ce5-9dd9-0b9c3a41c6c3
	HostApplication=powershell.exe -Command 
    $recycleBin = New-Object -ComObject Shell.Application
    $binFolder = $recycleBin.Namespace(0xA)
    $items = $binFolder.Items()
    $items | ForEach-Object { Remove-Item $_.Path -Force -Recurse }
    
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:04 CH	PowerShell	403	Engine Lifecycle	"Engine state is changed from Available to Stopped. 

Details: 
	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=15

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=dfcc89a3-88a9-4abc-9a92-6920f03718ad
	HostApplication=powershell.exe -Command 
    $shell = New-Object -ComObject Shell.Application
    $folder = $shell.Namespace(0xA)
    $folder.MoveHere(""C:\Users\tamin\AppData\Local\Temp\encrypt"")
    
	EngineVersion=5.1.19041.4780
	RunspaceId=2fc378fd-523d-4f36-96fb-3eea27cd2e7b
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:03 CH	PowerShell	400	Engine Lifecycle	"Engine state is changed from None to Available. 

Details: 
	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=dfcc89a3-88a9-4abc-9a92-6920f03718ad
	HostApplication=powershell.exe -Command 
    $shell = New-Object -ComObject Shell.Application
    $folder = $shell.Namespace(0xA)
    $folder.MoveHere(""C:\Users\tamin\AppData\Local\Temp\encrypt"")
    
	EngineVersion=5.1.19041.4780
	RunspaceId=2fc378fd-523d-4f36-96fb-3eea27cd2e7b
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:03 CH	PowerShell	600	Provider Lifecycle	"Provider ""Variable"" is Started. 

Details: 
	ProviderName=Variable
	NewProviderState=Started

	SequenceNumber=11

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=dfcc89a3-88a9-4abc-9a92-6920f03718ad
	HostApplication=powershell.exe -Command 
    $shell = New-Object -ComObject Shell.Application
    $folder = $shell.Namespace(0xA)
    $folder.MoveHere(""C:\Users\tamin\AppData\Local\Temp\encrypt"")
    
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:03 CH	PowerShell	600	Provider Lifecycle	"Provider ""Function"" is Started. 

Details: 
	ProviderName=Function
	NewProviderState=Started

	SequenceNumber=9

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=dfcc89a3-88a9-4abc-9a92-6920f03718ad
	HostApplication=powershell.exe -Command 
    $shell = New-Object -ComObject Shell.Application
    $folder = $shell.Namespace(0xA)
    $folder.MoveHere(""C:\Users\tamin\AppData\Local\Temp\encrypt"")
    
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:03 CH	PowerShell	600	Provider Lifecycle	"Provider ""FileSystem"" is Started. 

Details: 
	ProviderName=FileSystem
	NewProviderState=Started

	SequenceNumber=7

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=dfcc89a3-88a9-4abc-9a92-6920f03718ad
	HostApplication=powershell.exe -Command 
    $shell = New-Object -ComObject Shell.Application
    $folder = $shell.Namespace(0xA)
    $folder.MoveHere(""C:\Users\tamin\AppData\Local\Temp\encrypt"")
    
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:03 CH	PowerShell	600	Provider Lifecycle	"Provider ""Environment"" is Started. 

Details: 
	ProviderName=Environment
	NewProviderState=Started

	SequenceNumber=5

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=dfcc89a3-88a9-4abc-9a92-6920f03718ad
	HostApplication=powershell.exe -Command 
    $shell = New-Object -ComObject Shell.Application
    $folder = $shell.Namespace(0xA)
    $folder.MoveHere(""C:\Users\tamin\AppData\Local\Temp\encrypt"")
    
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:03 CH	PowerShell	600	Provider Lifecycle	"Provider ""Alias"" is Started. 

Details: 
	ProviderName=Alias
	NewProviderState=Started

	SequenceNumber=3

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=dfcc89a3-88a9-4abc-9a92-6920f03718ad
	HostApplication=powershell.exe -Command 
    $shell = New-Object -ComObject Shell.Application
    $folder = $shell.Namespace(0xA)
    $folder.MoveHere(""C:\Users\tamin\AppData\Local\Temp\encrypt"")
    
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information	07/09/2024 12:23:03 CH	PowerShell	600	Provider Lifecycle	"Provider ""Registry"" is Started. 

Details: 
	ProviderName=Registry
	NewProviderState=Started

	SequenceNumber=1

	HostName=ConsoleHost
	HostVersion=5.1.19041.4780
	HostId=dfcc89a3-88a9-4abc-9a92-6920f03718ad
	HostApplication=powershell.exe -Command 
    $shell = New-Object -ComObject Shell.Application
    $folder = $shell.Namespace(0xA)
    $folder.MoveHere(""C:\Users\tamin\AppData\Local\Temp\encrypt"")
    
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
